id	author	documents	citations	total link strength
1413	"smutny, pavel"	1	399	0
1414	"soehardjo, danang widyorukmantiyoro arissetyanto"	1	0	0
1415	"sokolova, eleonora"	1	1	0
1416	"sokolowski, adam"	1	3	0
1417	"soliman, taysir h.a."	1	0	0
1418	"soliyev, ozodbek"	1	0	0
1419	"sollne, matthias"	1	0	0
1420	"solomakha, iryna"	1	16	0
1421	"soltan, mohamed"	1	2	0
1422	"soltan, saleh"	1	18	0
1423	"some, michel j"	1	1	0
1424	"soms, nisha"	1	1	0
1425	"son, taekwon"	1	1	0
1426	"son, yoorim"	1	0	0
1427	"sonderegger, stefan"	1	10	0
